date,bike_count
2014-07-01,8496.0
2014-07-02,8757.0
2014-07-03,8451.0
2014-07-04,8145.0
2014-07-05,4735.0
2014-07-06,2673.0
2014-07-07,6667.0
2014-07-08,5174.0
2014-07-09,4346.0
2014-07-10,6828.0
2014-07-11,7217.0
2014-07-12,4123.0
2014-07-13,2714.0
2014-07-14,7780.0
2014-07-15,7945.0
2014-07-16,8156.0
2014-07-17,8261.0
2014-07-18,7502.0
2014-07-19,5302.0
2014-07-20,2269.0
2014-07-21,4420.0
2014-07-22,5981.0
2014-07-23,7959.0
2014-07-24,8288.0
2014-07-25,7972.0
2014-07-26,5548.0
2014-07-27,3275.0
2014-07-28,6446.0
2014-07-29,6260.0
2014-07-30,5108.0
2014-07-31,7749.0
2014-08-01,7282.0
2014-08-02,5214.0
2014-08-03,2576.0
2014-08-04,6234.0
2014-08-05,6226.0
2014-08-06,6811.0
2014-08-07,6672.0
2014-08-08,6234.0
2014-08-09,4515.0
2014-08-10,2163.0
2014-08-11,6389.0
2014-08-12,6511.0
2014-08-13,4464.0
2014-08-14,5258.0
2014-08-15,3203.0
2014-08-16,3711.0
2014-08-17,1905.0
2014-08-18,4893.0
2014-08-19,5697.0
2014-08-20,5813.0
2014-08-21,6005.0
2014-08-22,5437.0
2014-08-23,3551.0
2014-08-24,1852.0
2014-08-25,4984.0
2014-08-26,3925.0
2014-08-27,4946.0
2014-08-28,6110.0
2014-08-29,5628.0
2014-08-30,4155.0
2014-08-31,1075.0
2014-09-01,5310.0
2014-09-02,5869.0
2014-09-03,5663.0
2014-09-04,5794.0
2014-09-05,5983.0
2014-09-06,4818.0
2014-09-07,2393.0
2014-09-08,6395.0
2014-09-09,6567.0
2014-09-10,6529.0
2014-09-11,5627.0
2014-09-12,2569.0
2014-09-13,4503.0
2014-09-14,2266.0
2014-09-15,6746.0
2014-09-16,7219.0
2014-09-17,7423.0
2014-09-18,6613.0
2014-09-19,6703.0
2014-09-20,5698.0
2014-09-21,1850.0
2014-09-22,5698.0
2014-09-23,6473.0
2014-09-24,6306.0
2014-09-25,6230.0
2014-09-26,6576.0
2014-09-27,4957.0
2014-09-28,2632.0
2014-09-29,6906.0
2014-09-30,6593.0
2014-10-01,7095.0
2014-10-02,7406.0
2014-10-03,2639.0
2014-10-04,4963.0
2014-10-05,2125.0
2014-10-06,6780.0
2014-10-07,5880.0
2014-10-08,6214.0
2014-10-09,6161.0
2014-10-10,5286.0
2014-10-11,3886.0
2014-10-12,2933.0
2014-10-13,6021.0
2014-10-14,7451.0
2014-10-15,6934.0
2014-10-16,6409.0
2014-10-17,5940.0
2014-10-18,5182.0
2014-10-19,2682.0
2014-10-20,6168.0
2014-10-21,5870.0
2014-10-22,5818.0
2014-10-23,6486.0
2014-10-24,6541.0
2014-10-25,4595.0
2014-10-26,2531.0
2014-10-27,6284.0
2014-10-28,6039.0
2014-10-29,6173.0
2014-10-30,6841.0
2014-10-31,6681.0
2014-11-01,2562.0
2014-11-02,2369.0
2014-11-03,6269.0
2014-11-04,6928.0
2014-11-05,5060.0
2014-11-06,6974.0
2014-11-07,6543.0
2014-11-08,4930.0
2014-11-09,2150.0
2014-11-10,6086.0
2014-11-11,6681.0
2014-11-12,5839.0
2014-11-13,6284.0
2014-11-14,6697.0
2014-11-15,4013.0
2014-11-16,1985.0
2014-11-17,5689.0
2014-11-18,5265.0
2014-11-19,5808.0
2014-11-20,6021.0
2014-11-21,5862.0
2014-11-22,3997.0
2014-11-23,1784.0
2014-11-24,5422.0
2014-11-25,5683.0
2014-11-26,5773.0
2014-11-27,6261.0
2014-11-28,5578.0
2014-11-29,3222.0
2014-11-30,1859.0
2014-12-01,5167.0
2014-12-02,4590.0
2014-12-03,4822.0
2014-12-04,5324.0
2014-12-05,5086.0
2014-12-06,2998.0
2014-12-07,1736.0
2014-12-08,5061.0
2014-12-09,4785.0
2014-12-10,4684.0
2014-12-11,4351.0
2014-12-12,4644.0
2014-12-13,3222.0
2014-12-14,1058.0
2014-12-15,5535.0
2014-12-16,5051.0
2014-12-17,4562.0
2014-12-18,5089.0
2014-12-19,4472.0
2014-12-20,2917.0
2014-12-21,1393.0
2014-12-22,4372.0
2014-12-23,4068.0
2014-12-24,1648.0
2014-12-25,489.0
2014-12-26,636.0
2014-12-27,1190.0
2014-12-28,391.0
2014-12-29,843.0
2014-12-30,966.0
2014-12-31,1192.0
2015-01-01,527.0
2015-01-02,2046.0
2015-01-03,1421.0
2015-01-04,961.0
2015-01-05,3921.0
2015-01-06,1355.0
2015-01-07,4699.0
2015-01-08,4210.0
2015-01-09,4002.0
2015-01-10,3039.0
2015-01-11,1465.0
2015-01-12,5009.0
2015-01-13,5879.0
2015-01-14,4713.0
2015-01-15,5606.0
2015-01-16,3515.0
2015-01-17,2373.0
2015-01-18,1422.0
2015-01-19,5109.0
2015-01-20,4756.0
2015-01-21,5203.0
2015-01-22,5330.0
2015-01-23,4878.0
2015-01-24,2719.0
2015-01-25,1331.0
2015-01-26,4143.0
2015-01-27,5121.0
2015-01-28,4863.0
2015-01-29,4504.0
2015-01-30,3803.0
2015-01-31,2807.0
2015-02-01,1165.0
2015-02-02,4684.0
2015-02-03,5166.0
2015-02-04,4675.0
2015-02-05,4686.0
2015-02-06,4395.0
2015-02-07,2988.0
2015-02-08,1220.0
2015-02-09,3834.0
2015-02-10,4814.0
2015-02-11,5158.0
2015-02-12,5047.0
2015-02-13,4771.0
2015-02-14,3024.0
2015-02-15,1250.0
2015-02-16,3924.0
2015-02-17,3366.0
2015-02-18,4387.0
2015-02-19,4251.0
2015-02-20,4624.0
2015-02-21,2894.0
2015-02-22,1521.0
