"date","temperature","humidity","windspeed","wind_direction","visibility","precipitation","sun","windspeed_max","precip_indic","precip_type"
2022-06-03,21.2111111111111,53.6666666666667,2.47222222222222,183.333333333333,60341.6666666667,0,380,6.4,0,0
2022-06-04,21.0055555555556,73.2777777777778,1.93888888888889,148.888888888889,28848.3333333333,0.2,352,5.8,0,0
2022-06-05,19.9388888888889,80.5,3.91666666666667,207.777777777778,41414.4444444444,7.1,239,13.3,1,6
2022-06-06,19.5722222222222,68.1666666666667,3.41111111111111,232.222222222222,54802.2222222222,1.1,199,8.7,0,0
2022-06-07,18.5166666666667,73.0555555555556,3.39444444444444,231.666666666667,60176.1111111111,2.4,459,12.3,0,0
2022-06-08,17.7444444444444,71.9444444444444,2.97222222222222,226.111111111111,47472.7777777778,1.1,374,13.4,0,0
2022-06-09,16.85,68.9444444444444,3.45555555555556,246.111111111111,55926.1111111111,0.5,376,9,0,0
2022-06-10,19.9333333333333,54.3333333333333,2.32777777777778,266.111111111111,53323.3333333333,0,890,6.6,0,0
2022-06-11,22.4666666666667,51.5,2.03333333333333,234.444444444444,55713.8888888889,0,885,6.5,0,0
2022-06-12,24.2,51.0555555555556,2.11111111111111,197.222222222222,52326.1111111111,0,771,8.3,0,0
2022-06-13,20.6333333333333,48.2777777777778,2.47777777777778,265,52042.7777777778,0,681,8.5,0,0
2022-06-14,21.3,46.8888888888889,3.42222222222222,52.2222222222222,52090.5555555556,0,860,9.1,0,0
2022-06-15,24.3111111111111,44.0555555555556,1.66666666666667,242.777777777778,50435,0,888,6,0,0
2022-06-16,24.4944444444444,43.8888888888889,2.55,170,51948.8888888889,0,738,9,0,0
2022-06-17,24.1,39.9444444444444,2.4,49.4444444444444,64511.6666666667,0,829,9.2,0,0
2022-06-18,27.9777777777778,42.2777777777778,1.69444444444444,209.444444444444,53756.1111111111,0,802,5.5,0,0
2022-06-19,30.6611111111111,38.2777777777778,3.98888888888889,227.222222222222,42790.5555555556,0,848,12.4,0,0
2022-06-20,21.7277777777778,57.8888888888889,3.93333333333333,130,49008.3333333333,0.1,383,10,0,0
2022-06-21,23.1055555555556,48.2222222222222,3.65555555555556,83.8888888888889,58183.8888888889,0,681,9.3,0,0
2022-06-22,20.5444444444444,71.2222222222222,1.62222222222222,129.444444444444,38456.1111111111,0.5,0,5.7,1,6
2022-06-23,25.8333333333333,56.5555555555556,2.15,101.111111111111,43302.2222222222,0,654,9,0,0
2022-06-24,20.7277777777778,74.3333333333333,3.29444444444444,222.777777777778,43962.2222222222,15.6,408,12.2,0,0
2022-06-25,22.7722222222222,59.3888888888889,1.94444444444444,127.222222222222,56532.2222222222,0,707,6.5,0,0
