start,end,year,stateCode,name,slug
2022-12-23,2023-01-06,2022,HH,weihnachtsferien hamburg 2022,weihnachtsferien hamburg 2022-2022-HH
2022-04-11,2022-04-23,2022,HE,osterferien hessen 2022,osterferien hessen 2022-2022-HE
2022-07-25,2022-09-02,2022,HE,sommerferien hessen 2022,sommerferien hessen 2022-2022-HE
2022-10-24,2022-10-29,2022,HE,herbstferien hessen 2022,herbstferien hessen 2022-2022-HE
2022-12-22,2023-01-07,2022,HE,weihnachtsferien hessen 2022,weihnachtsferien hessen 2022-2022-HE
2022-02-05,2022-02-17,2022,MV,winterferien mecklenburg-vorpommern 2022,winterferien mecklenburg-vorpommern 2022-2022-MV
2022-04-11,2022-04-20,2022,MV,osterferien mecklenburg-vorpommern 2022,osterferien mecklenburg-vorpommern 2022-2022-MV
2022-05-27,2022-05-27,2022,MV,pfingstferien mecklenburg-vorpommern 2022 (beweglicher ferientag),pfingstferien mecklenburg-vorpommern 2022 (beweglicher ferientag)-2022-MV
2022-06-03,2022-06-07,2022,MV,pfingstferien mecklenburg-vorpommern 2022,pfingstferien mecklenburg-vorpommern 2022-2022-MV
2022-07-04,2022-08-13,2022,MV,sommerferien mecklenburg-vorpommern 2022,sommerferien mecklenburg-vorpommern 2022-2022-MV
2022-10-10,2022-10-14,2022,MV,herbstferien mecklenburg-vorpommern 2022,herbstferien mecklenburg-vorpommern 2022-2022-MV
2022-11-01,2022-11-01,2022,MV,herbstferien mecklenburg-vorpommern 2022 (beweglicher ferientag),herbstferien mecklenburg-vorpommern 2022 (beweglicher ferientag)-2022-MV
2022-12-22,2023-01-02,2022,MV,weihnachtsferien mecklenburg-vorpommern 2022,weihnachtsferien mecklenburg-vorpommern 2022-2022-MV
2022-01-31,2022-02-01,2022,NI,winterferien niedersachsen 2022,winterferien niedersachsen 2022-2022-NI
2022-04-04,2022-04-19,2022,NI,osterferien niedersachsen 2022,osterferien niedersachsen 2022-2022-NI
2022-05-27,2022-05-27,2022,NI,pfingstferien niedersachsen 2022 (beweglicher ferientag),pfingstferien niedersachsen 2022 (beweglicher ferientag)-2022-NI
2022-07-14,2022-08-24,2022,NI,sommerferien niedersachsen 2022,sommerferien niedersachsen 2022-2022-NI
2022-10-17,2022-10-28,2022,NI,herbstferien niedersachsen 2022,herbstferien niedersachsen 2022-2022-NI
2022-12-23,2023-01-06,2022,NI,weihnachtsferien niedersachsen 2022,weihnachtsferien niedersachsen 2022-2022-NI
2022-04-11,2022-04-23,2022,NW,osterferien nordrhein-westfalen 2022,osterferien nordrhein-westfalen 2022-2022-NW
2022-06-27,2022-08-09,2022,NW,sommerferien nordrhein-westfalen 2022,sommerferien nordrhein-westfalen 2022-2022-NW
2022-10-04,2022-10-15,2022,NW,herbstferien nordrhein-westfalen 2022,herbstferien nordrhein-westfalen 2022-2022-NW
2022-12-23,2023-01-06,2022,NW,weihnachtsferien nordrhein-westfalen 2022,weihnachtsferien nordrhein-westfalen 2022-2022-NW
2022-02-21,2022-02-25,2022,RP,winterferien rheinland-pfalz 2022,winterferien rheinland-pfalz 2022-2022-RP
2022-04-13,2022-04-22,2022,RP,osterferien rheinland-pfalz 2022,osterferien rheinland-pfalz 2022-2022-RP
2022-07-25,2022-09-02,2022,RP,sommerferien rheinland-pfalz 2022,sommerferien rheinland-pfalz 2022-2022-RP
2022-10-17,2022-10-31,2022,RP,herbstferien rheinland-pfalz 2022,herbstferien rheinland-pfalz 2022-2022-RP
2022-12-23,2023-01-02,2022,RP,weihnachtsferien rheinland-pfalz 2022,weihnachtsferien rheinland-pfalz 2022-2022-RP
2022-02-21,2022-03-01,2022,SL,winterferien saarland 2022,winterferien saarland 2022-2022-SL
2022-04-14,2022-04-22,2022,SL,osterferien saarland 2022,osterferien saarland 2022-2022-SL
2022-06-07,2022-06-10,2022,SL,pfingstferien saarland 2022,pfingstferien saarland 2022-2022-SL
2022-07-25,2022-09-02,2022,SL,sommerferien saarland 2022,sommerferien saarland 2022-2022-SL
2022-10-24,2022-11-04,2022,SL,herbstferien saarland 2022,herbstferien saarland 2022-2022-SL
2022-12-22,2023-01-04,2022,SL,weihnachtsferien saarland 2022,weihnachtsferien saarland 2022-2022-SL
2022-02-12,2022-02-26,2022,SN,winterferien sachsen 2022,winterferien sachsen 2022-2022-SN
2022-04-15,2022-04-23,2022,SN,osterferien sachsen 2022,osterferien sachsen 2022-2022-SN
2022-05-27,2022-05-27,2022,SN,pfingstferien sachsen 2022 (beweglicher ferientag),pfingstferien sachsen 2022 (beweglicher ferientag)-2022-SN
2022-07-18,2022-08-26,2022,SN,sommerferien sachsen 2022,sommerferien sachsen 2022-2022-SN
2022-10-17,2022-10-29,2022,SN,herbstferien sachsen 2022,herbstferien sachsen 2022-2022-SN
2022-12-22,2023-01-02,2022,SN,weihnachtsferien sachsen 2022,weihnachtsferien sachsen 2022-2022-SN
2022-02-12,2022-02-19,2022,ST,winterferien sachsen-anhalt 2022,winterferien sachsen-anhalt 2022-2022-ST
